ProteinA	UniProtID_A	GeneName_A	ProteinB	UniProtID_B	GeneName_B	MethodType	Method	Publication	Source
PO5F1_HUMAN	Q01860	POU5F1	WWP2_HUMAN	O00308	WWP2	ubiquitination reaction (MI:0220)	ubiquitinase assay (MI:0997)	Xu, H. et al., 2009 (PMID:19274063)	IntAct (Acc:EBI-6925616)
PO5F1_HUMAN	Q01860	POU5F1	UB2E1_HUMAN	P51965	UBE2E1	ubiquitination reaction (MI:0220)	ubiquitinase assay (MI:0997)	Xu, H. et al., 2009 (PMID:19274063)	IntAct (Acc:EBI-6925616)
PO5F1_HUMAN	Q01860	POU5F1	VE7_HPV16	P03129	E7	direct interaction (MI:0407)	pull down (MI:0096)	Brehm, A. et al., 1999 (PMID:10082529)	IntAct (Acc:EBI-6960447)
PO5F1_HUMAN	Q01860	POU5F1	FOXD3_HUMAN	Q9UJU5	FOXD3	physical association (MI:0915)	pull down (MI:0096)	Guo, Y. et al., 2002 (PMID:11891324)	IntAct (Acc:EBI-475717)
PO5F1_HUMAN	Q01860	POU5F1	FOXD3_HUMAN	Q9UJU5	FOXD3	direct interaction (MI:0407)	pull down (MI:0096)	Guo, Y. et al., 2002 (PMID:11891324)	BioGRID (Acc:813928)
PO5F1_HUMAN	Q01860	POU5F1	WWP2_HUMAN	O00308	WWP2	direct interaction (MI:0407)	pull down (MI:0096)	Xu, H. et al., 2009 (PMID:19274063)	IntAct (Acc:EBI-6919991)
PO5F1_HUMAN	Q01860	POU5F1	WWP2_HUMAN	O00308	WWP2	direct interaction (MI:0407)	pull down (MI:0096)	Xu, H. et al., 2009 (PMID:19274063)	BioGRID (Acc:574230)
PO5F1_HUMAN	Q01860	POU5F1	MAT1_HUMAN	P51948	MNAT1	direct interaction (MI:0407)	pull down (MI:0096)	Inamoto, S. et al., 1997 (PMID:9368058)	BioGRID (Acc:278655)
PO5F1_HUMAN	Q01860	POU5F1	WDR5_HUMAN	P61964	WDR5	direct interaction (MI:0407)	pull down (MI:0096)	Ang, YS. et al., 2011 (PMID:21477851)	BioGRID (Acc:522258)
PO5F1_HUMAN	Q01860	POU5F1	ETS2_HUMAN	P15036	ETS2	direct interaction (MI:0407)	pull down (MI:0096)	Ezashi, T. et al., 2001 (PMID:11689681)	BioGRID (Acc:857744)
PO5F1_HUMAN	Q01860	POU5F1	SOX2_HUMAN	P48431	SOX2	direct interaction (MI:0407)	pull down (MI:0096)	Reményi, A. et al., 2003 (PMID:12923055)	BioGRID (Acc:255640)
PO5F1_HUMAN	Q01860	POU5F1	NR0B1_HUMAN	P51843	NR0B1	direct interaction (MI:0407)	pull down (MI:0096)	Sun, C. et al., 2009 (PMID:19528230)	BioGRID (Acc:560265)
PO5F1_HUMAN	Q01860	POU5F1	NR0B1_HUMAN	P51843	NR0B1	direct interaction (MI:0407)	pull down (MI:0096)	Sun, C. et al., 2009 (PMID:19528230)	BioGRID (Acc:560266)
PO5F1_HUMAN	Q01860	POU5F1	NUCL_HUMAN	P19338	NCL	physical association (MI:0915)	proximity ligation assay (MI:0813)	Johansson, H. et al., 2010 (PMID:21048921)	IntAct (Acc:EBI-9347374)
PO5F1_HUMAN	Q01860	POU5F1	LRRK2_HUMAN	Q5S007	LRRK2	direct interaction (MI:0407)	protein array (MI:0089)	Tomkins, JE. et al., 2018 (PMID:29513927)	IntAct (Acc:EBI-20587527)
PO5F1_HUMAN	Q01860	POU5F1	ETS2_HUMAN	P15036	ETS2	NotAssigned	in vivo (MI:0493)	Ezashi, T. et al., 2001 (PMID:11689681)	"HPRD (Acc:Q01860	POU5F1)"
PO5F1_HUMAN	Q01860	POU5F1	ANDR_HUMAN	P10275	AR	NotAssigned	in vivo (MI:0493)	Gonzalez, MI. et al., 2001 (PMID:11096094)	"HPRD (Acc:Q01860	POU5F1)"
PO5F1_HUMAN	Q01860	POU5F1	EWS_HUMAN	Q01844	EWSR1	NotAssigned	in vivo (MI:0493)	Lee, J. et al., 2005 (PMID:15917470)	"HPRD (Acc:Q01860	POU5F1)"
PO5F1_HUMAN	Q01860	POU5F1	FOXD3_HUMAN	Q9UJU5	FOXD3	NotAssigned	in vitro (MI:0492)	Guo, Y. et al., 2002 (PMID:11891324)	"HPRD (Acc:Q01860	POU5F1)"
PO5F1_HUMAN	Q01860	POU5F1	MAT1_HUMAN	P51948	MNAT1	NotAssigned	in vitro (MI:0492)	Inamoto, S. et al., 1997 (PMID:9368058)	"HPRD (Acc:Q01860	POU5F1)"
PO5F1_HUMAN	Q01860	POU5F1	HMGB1_HUMAN	P09429	HMGB1	NotAssigned	in vitro (MI:0492)	Butteroni, C. et al., 2000 (PMID:11099378)	"HPRD (Acc:Q01860	POU5F1)"
PO5F1_HUMAN	Q01860	POU5F1	HMGB2_HUMAN	P26583	HMGB2	NotAssigned	in vitro (MI:0492)	Butteroni, C. et al., 2000 (PMID:11099378)	"HPRD (Acc:Q01860	POU5F1)"
PO5F1_HUMAN	Q01860	POU5F1	SOX2_HUMAN	P48431	SOX2	NotAssigned	in vitro (MI:0492)	Reményi, A. et al., 2003 (PMID:12923055)	"HPRD (Acc:Q01860	POU5F1)"
PO5F1_HUMAN	Q01860	POU5F1	SOX8_HUMAN	P57073	SOX8	NotAssigned	in vitro (MI:0492)	Wissmüller, S. et al., 2006 (PMID:16582099)	"HPRD (Acc:Q01860	POU5F1)"
PO5F1_HUMAN	Q01860	POU5F1	SOX10_HUMAN	P56693	SOX10	NotAssigned	in vitro (MI:0492)	Wissmüller, S. et al., 2006 (PMID:16582099)	"HPRD (Acc:Q01860	POU5F1)"
PO5F1_HUMAN	Q01860	POU5F1	ZN143_HUMAN	P52747	ZNF143	colocalization (MI:0403)	imaging technique (MI:0428)	Chen, X. et al., 2008 (PMID:18687992)	BioGRID (Acc:561396)
PO5F1_HUMAN	Q01860	POU5F1	RD23B_HUMAN	P54727	RAD23B	colocalization (MI:0403)	imaging technique (MI:0428)	Fong, YW. et al., 2011 (PMID:21962512)	BioGRID (Acc:825323)
PO5F1_HUMAN	Q01860	POU5F1	WWP2_HUMAN	O00308	WWP2	direct interaction (MI:0407)	enzymatic study (MI:0415)	Xu, H. et al., 2009 (PMID:19274063)	BioGRID (Acc:574232)
PO5F1_HUMAN	Q01860	POU5F1	WWP2_HUMAN	O00308	WWP2	direct interaction (MI:0407)	enzymatic study (MI:0415)	Liao, B. et al., 2010 (PMID:19997087)	BioGRID (Acc:1523836)
PO5F1_HUMAN	Q01860	POU5F1	ITCH_HUMAN	Q96J02	ITCH	direct interaction (MI:0407)	enzymatic study (MI:0415)	Liao, B. et al., 2013 (PMID:23255053)	BioGRID (Acc:811823)
PO5F1_HUMAN	Q01860	POU5F1	ITCH_HUMAN	Q96J02	ITCH	direct interaction (MI:0407)	enzymatic study (MI:0415)	Liao, B. et al., 2010 (PMID:19997087)	BioGRID (Acc:1523837)
PO5F1_HUMAN	Q01860	POU5F1	FOXD3_HUMAN	Q9UJU5	FOXD3	physical association (MI:0915)	coimmunoprecipitation (MI:0019)	Guo, Y. et al., 2002 (PMID:11891324)	IntAct (Acc:EBI-475728)
PO5F1_HUMAN	Q01860	POU5F1	WDR5_HUMAN	P61964	WDR5	association (MI:0914)	biochemical (MI:0401)	Ang, YS. et al., 2011 (PMID:21477851)	BioGRID (Acc:522256)
PO5F1_HUMAN	Q01860	POU5F1	WWP2_HUMAN	O00308	WWP2	physical association (MI:0915)	anti tag coimmunoprecipitation (MI:0007)	Xu, H. et al., 2009 (PMID:19274063)	IntAct (Acc:EBI-6920337)
PO5F1_HUMAN	Q01860	POU5F1	KDM6A_HUMAN	O15550	KDM6A	physical association (MI:0915)	anti tag coimmunoprecipitation (MI:0007)	Mansour, AA. et al., 2012 (PMID:22801502)	IntAct (Acc:EBI-15999317)
PO5F1_HUMAN	Q01860	POU5F1	KDM6A_HUMAN	O15550	KDM6A	physical association (MI:0915)	anti tag coimmunoprecipitation (MI:0007)	Mansour, AA. et al., 2012 (PMID:22801502)	DIP (Acc:DIP-189742E)
PO5F1_HUMAN	Q01860	POU5F1	MBD3_HUMAN	O95983	MBD3	association (MI:0914)	anti tag coimmunoprecipitation (MI:0007)	Rais, Y. et al., 2013 (PMID:24048479)	IntAct (Acc:EBI-16075103)
PO5F1_HUMAN	Q01860	POU5F1	MBD3_HUMAN	O95983	MBD3	physical association (MI:0915)	anti tag coimmunoprecipitation (MI:0007)	Rais, Y. et al., 2013 (PMID:24048479)	IntAct (Acc:EBI-16075244)
PO5F1_HUMAN	Q01860	POU5F1	MBD3_HUMAN	O95983	MBD3	physical association (MI:0915)	anti tag coimmunoprecipitation (MI:0007)	Rais, Y. et al., 2013 (PMID:24048479)	IntAct (Acc:EBI-16075282)
PO5F1_HUMAN	Q01860	POU5F1	MBD3_HUMAN	O95983	MBD3	physical association (MI:0915)	anti tag coimmunoprecipitation (MI:0007)	Rais, Y. et al., 2013 (PMID:24048479)	DIP (Acc:DIP-192072E)
PO5F1_HUMAN	Q01860	POU5F1	MYC_HUMAN	P01106	MYC	physical association (MI:0915)	anti tag coimmunoprecipitation (MI:0007)	Rais, Y. et al., 2013 (PMID:24048479)	DIP (Acc:DIP-192071E)
PO5F1_HUMAN	Q01860	POU5F1	VE7_HPV16	P03129	E7	physical association (MI:0915)	anti bait coimmunoprecipitation (MI:0006)	Brehm, A. et al., 1999 (PMID:10082529)	IntAct (Acc:EBI-6960567)
PO5F1_HUMAN	Q01860	POU5F1	CTCF_HUMAN	P49711	CTCF	physical association (MI:0915)	anti bait coimmunoprecipitation (MI:0006)	Donohoe, ME. et al., 2009 (PMID:19536159)	IntAct (Acc:EBI-15789147)
PO5F1_HUMAN	Q01860	POU5F1	CTCF_HUMAN	P49711	CTCF	physical association (MI:0915)	anti bait coimmunoprecipitation (MI:0006)	Donohoe, ME. et al., 2009 (PMID:19536159)	IntAct (Acc:EBI-15789187)
PO5F1_HUMAN	Q01860	POU5F1	CTCF_HUMAN	P49711	CTCF	physical association (MI:0915)	anti bait coimmunoprecipitation (MI:0006)	Donohoe, ME. et al., 2009 (PMID:19536159)	DIP (Acc:DIP-187496E)
PO5F1_HUMAN	Q01860	POU5F1	WWP2_HUMAN	O00308	WWP2	physical association (MI:0915)	anti bait coimmunoprecipitation (MI:0006)	Xu, H. et al., 2009 (PMID:19274063)	IntAct (Acc:EBI-6920467)
PO5F1_HUMAN	Q01860	POU5F1	SOX2_HUMAN	P48431	SOX2	physical association (MI:0915)	anti bait coimmunoprecipitation (MI:0006)	Stefanovic, S. et al., 2009 (PMID:19736317)	IntAct (Acc:EBI-9344593)
PO5F1_HUMAN	Q01860	POU5F1	FOXD3_HUMAN	Q9UJU5	FOXD3	physical association (MI:0915)	affinity chromatography technology (MI:0004)	Guo, Y. et al., 2002 (PMID:11891324)	BioGRID (Acc:813929)
