Target_genes	E2F1|Average	SRX022432|HeLa	SRX150446|HeLa	SRX150563|HeLa	SRX734309|HMEC	SRX2565135|LNCAP	SRX2565136|LNCAP	SRX992662|LNCAP	SRX150556|MCF-7	SRX2585781|MDA-MB-231	SRX1726515|MM.1S	SRX275409|OCI-LY1	SRX1556104|PC-3	SRX1556105|PC-3	SRX1497386|RAJI	SRX1497396|RAJI	SRX1007721|SK-MEL-147	SRX1726518|U-266	SRX334238|Unclassified	SRX334239|Unclassified	SRX334242|Unclassified	SRX334243|Unclassified	SRX334246|Unclassified	SRX334247|Unclassified	SRX334250|Unclassified	SRX334251|Unclassified	SRX334254|Unclassified	SRX334255|Unclassified	SRX334258|Unclassified	SRX334259|Unclassified	SRX334262|Unclassified	SRX334263|Unclassified	SRX334265|Unclassified	SRX334266|Unclassified	SRX1548204|Wharton_Jelly	SRX1548205|Wharton_Jelly	SRX1548206|Wharton_Jelly	SRX1548207|Wharton_Jelly	SRX1548208|Wharton_Jelly	SRX1548209|Wharton_Jelly	STRING
UBE2T	1571.102564	866	649	825	2687	2478	1872	2984	4152	2190	3759	1704	0	0	1501	2767	190	1008	2925	2171	2079	2198	2842	2218	2478	2090	1085	881	838	1048	1543	2032	1611	1166	92	604	183	632	717	208	0
PCNA	1565.410256	481	1580	791	2682	2081	1757	2355	3635	1634	2535	2302	0	0	1826	3356	123	934	2437	2020	2164	2207	2362	2180	2318	2125	1286	1469	1296	1527	1784	2023	1660	1166	189	702	225	924	760	155	0
KRI1	1525.564103	582	1070	485	2347	2086	1606	2546	2313	1981	3601	1250	0	0	2022	3594	145	1904	2525	2262	2186	2368	2631	2476	2298	2205	1219	1053	1106	1276	1487	1955	1581	814	122	723	162	708	668	140	0
CDKN2D	1525.564103	582	1070	485	2347	2086	1606	2546	2313	1981	3601	1250	0	0	2022	3594	145	1904	2525	2262	2186	2368	2631	2476	2298	2205	1219	1053	1106	1276	1487	1955	1581	814	122	723	162	708	668	140	0
LOC112694756	1520.333333	1169	1499	1257	1475	2392	1521	2863	3039	2352	2848	2319	0	0	1531	2718	102	895	2757	2045	2252	2218	2679	2370	2217	2112	1313	1160	934	1395	1393	1795	1468	961	137	556	240	759	405	147	0
NOLC1	1514.923077	1041	1223	1023	3196	2255	1412	2872	3900	2008	2506	1723	0	0	1717	3385	0	826	2395	1747	1968	1866	2260	1893	2238	2191	1084	1239	987	1344	1525	2012	1610	1209	132	641	181	706	601	166	0
POLD3	1514.717949	776	1022	659	2090	2722	1617	2949	2702	2578	1471	2972	0	0	1202	2423	0	582	3012	2096	2327	2199	2812	1979	2432	2285	1123	1177	1054	1448	1772	2188	1644	1178	132	501	159	929	720	142	0
TUBA1B	1487.641026	1362	1208	786	2068	1818	1247	2306	3363	1457	3075	2201	0	0	1399	2906	152	1388	2402	1986	2178	2062	2367	2135	2027	1957	1326	1185	1033	1323	1735	2085	1844	1263	132	644	214	683	570	131	0
CEP152	1435.538462	694	690	858	2815	2629	1419	2850	3190	1710	2961	1359	0	0	975	2727	0	1246	2845	1904	2169	2027	2644	1880	2144	1865	1051	884	766	1404	1327	1867	1774	1050	186	516	126	671	621	142	0
PPWD1	1435.025641	776	1261	971	2272	2624	1327	2851	3597	2305	2620	1775	0	0	1024	2496	0	996	2728	1955	1749	2122	2542	1819	2157	1811	832	863	805	1167	1234	1768	1556	1052	233	646	195	980	676	181	0
CENPK	1435.025641	776	1261	971	2272	2624	1327	2851	3597	2305	2620	1775	0	0	1024	2496	0	996	2728	1955	1749	2122	2542	1819	2157	1811	832	863	805	1167	1234	1768	1556	1052	233	646	195	980	676	181	0
RAD54L	1408.461538	831	1608	1093	2425	2819	1863	3112	2947	2196	1414	1787	0	0	696	2331	0	295	2697	1736	2063	2109	2404	1969	2302	1913	1020	1191	925	1327	1461	1775	1647	970	90	445	142	504	635	188	0
SRSF1	1398.589744	912	509	488	2488	2008	1490	2538	2812	1533	3117	2039	0	0	1353	2926	0	1316	2518	1655	2018	1955	2326	1615	2100	1790	913	1057	871	1337	1399	1857	1766	1155	169	666	156	856	650	187	0
SPC25	1365.794872	535	222	235	3121	2675	1649	3272	2632	2536	2513	1665	0	0	1424	3261	0	1013	2559	1669	1821	1770	2368	1979	2022	1649	688	771	657	862	1121	1806	1401	763	148	499	150	814	817	179	0
NDC80	1359.948718	582	458	494	2605	2534	1698	2939	2576	1879	2328	416	0	0	891	2372	0	904	2872	2175	1971	2265	2569	1897	2289	2098	1006	978	687	1205	1434	1789	1716	927	101	555	161	846	598	223	0
METTL4	1359.948718	582	458	494	2605	2534	1698	2939	2576	1879	2328	416	0	0	891	2372	0	904	2872	2175	1971	2265	2569	1897	2289	2098	1006	978	687	1205	1434	1789	1716	927	101	555	161	846	598	223	0
DCAF16	1331.564103	613	744	1016	2239	2303	1606	2886	3831	1945	2494	871	0	0	798	2139	0	583	2379	2021	1998	1933	2514	1872	2053	1771	1100	1078	911	1125	1157	1799	1589	1067	134	335	124	415	382	106	0
GBA	1327.076923	1587	529	683	2753	1864	1270	2394	2468	1655	2324	1294	0	0	1085	2223	190	882	2496	1568	2029	1895	2357	1714	2198	1798	1112	1098	867	1251	1526	2010	1482	1070	115	535	110	629	489	206	0
