Target_genes	TFDP1|Average	SRX1726514|MM.1S	SRX1726517|U-266	STRING
RGS5	2881.000000	3538	2224	0
NUF2	2881.000000	3538	2224	0
EXO1	2851.500000	3320	2383	0
CEP152	2695.000000	3253	2137	0
BLM	2639.500000	2935	2344	0
UBE2T	2619.000000	3271	1967	0
TRIM59	2517.000000	3538	1496	0
SLC3A2	2476.000000	3194	1758	0
ZFPL1	2472.000000	2898	2046	0
CDCA5	2472.000000	2898	2046	0
MSH5	2471.500000	2995	1948	0
MCM3	2438.000000	3200	1676	0
SKA1	2432.000000	3051	1813	0
ATL3	2423.000000	2789	2057	0
DCAF16	2415.500000	3507	1324	0
KIF23	2411.000000	2724	2098	0
RFC4	2409.500000	2955	1864	0
RRM2	2406.000000	2588	2224	0
TK1	2393.500000	3024	1763	0
SPC24	2393.000000	2694	2092	0
CDKN2D	2393.000000	2815	1971	0
SNX5	2389.500000	2990	1789	0
MGME1	2389.500000	2990	1789	0
KIF20A	2365.000000	2949	1781	0
BRD8	2365.000000	2949	1781	0
BUB1B	2354.500000	2646	2063	0
RDM1	2332.500000	2674	1991	0
E2F3	2326.500000	2945	1708	0
RAD54L	2320.500000	3122	1519	0
RANBP3	2320.000000	3282	1358	0
TICRR	2307.000000	2547	2067	0
XRCC2	2274.000000	3145	1403	0
METTL2B	2268.500000	3107	1430	0
PCNA	2231.000000	2496	1966	0
PCNT	2224.500000	2701	1748	0
C21orf58	2224.500000	2701	1748	0
MTFR2	2223.500000	2678	1769	0
FAM76B	2215.000000	2666	1764	0
CEP57	2215.000000	2666	1764	0
SPC25	2214.000000	2990	1438	0
KIF2C	2162.500000	2839	1486	0
OIP5	2162.000000	2626	1698	0
NUSAP1	2162.000000	2626	1698	0
TUBA1B	2161.500000	2729	1594	0
ACAD9	2159.000000	2837	1481	0
HMGB2	2142.000000	2952	1332	0
STAG1	2136.500000	3144	1129	0
AURKB	2122.500000	2990	1255	0
FANCD2	2113.500000	2648	1579	0
MAD2L1	2112.500000	2602	1623	0
NOLC1	2103.500000	2724	1483	0
CENPA	2102.500000	2747	1458	0
VPS29	2098.000000	2517	1679	0
RAD9B	2098.000000	2517	1679	0
SPAG5	2092.000000	2713	1471	0
KIF18B	2091.500000	2623	1560	0
SYNGR4	2081.500000	2921	1242	0
PBX3	2081.500000	2400	1763	0
CDK1	2071.500000	2799	1344	0
CDC25C	2067.000000	2597	1537	0
RCCD1	2065.500000	2308	1823	0
NEMP1	2062.500000	2913	1212	0
MDC1	2060.000000	2602	1518	0
RAB8A	2048.000000	2825	1271	0
CENPS-CORT	2044.500000	2551	1538	0
CENPS	2044.500000	2551	1538	0
WEE1	2032.500000	2799	1266	0
CC2D1A	2026.000000	2666	1386	0
C19orf57	2026.000000	2666	1386	0
GMNN	2019.000000	2498	1540	0
FAM111A	2018.500000	2864	1173	0
H2AZ2	2016.500000	2776	1257	0
FAM200B	2006.000000	2724	1288	0
PCLAF	2003.500000	2458	1549	0
TPRA1	1987.000000	2716	1258	0
HNRNPUL1	1972.500000	2769	1176	0
KIF15	1968.000000	2395	1541	0
KIAA1143	1968.000000	2395	1541	0
TRIM37	1967.500000	2425	1510	0
SGO1	1966.500000	2566	1367	0
PLK4	1959.000000	2384	1534	0
PNPLA8	1956.500000	2817	1096	0
TBC1D31	1946.000000	2161	1731	0
SMC1B	1935.000000	3069	801	0
RIBC2	1935.000000	3069	801	0
GTSE1	1933.500000	2621	1246	0
H2BC11	1926.500000	2373	1480	0
H2AC11	1926.500000	2373	1480	0
ING5	1924.500000	2068	1781	0
DTYMK	1924.500000	2068	1781	0
AHCTF1	1922.000000	2662	1182	0
PRKDC	1919.500000	2491	1348	0
MCM4	1919.500000	2491	1348	0
SNRPB	1907.500000	2629	1186	0
THEM6	1904.500000	2764	1045	0
NCAPG2	1900.500000	2639	1162	0
SRSF2	1899.000000	2622	1176	0
MFSD11	1899.000000	2622	1176	0
DEPDC1B	1898.500000	2119	1678	0
GBA	1893.500000	2591	1196	0
TEX14	1888.500000	2159	1618	0
RAD51C	1888.500000	2159	1618	0
SRSF1	1887.500000	2357	1418	0
CLSPN	1884.500000	2485	1284	0
RACGAP1	1874.000000	2299	1449	0
NUDT2	1872.500000	2338	1407	0
KIF24	1872.500000	2338	1407	0
NDC80	1867.000000	2360	1374	0
METTL4	1867.000000	2360	1374	0
H2BC13	1862.000000	2689	1035	0
H2AC13	1862.000000	2689	1035	0
METTL15	1855.500000	2588	1123	0
KIF18A	1855.500000	2588	1123	0
DERL3	1844.000000	2304	1384	0
MXD3	1841.000000	2420	1262	0
MZT1	1836.500000	2206	1467	0
BORA	1836.500000	2206	1467	0
H2AX	1833.500000	2798	869	0
SYCE2	1826.500000	2547	1106	0
PRC1	1823.500000	2052	1595	0
IPO11	1819.500000	2632	1007	0
BRCA1	1813.500000	2619	1008	0
PAQR4	1799.500000	2343	1256	0
LUC7L2	1790.000000	2454	1126	0
SNRPA	1781.500000	2581	982	0
C19orf54	1781.500000	2581	982	0
INTS7	1780.000000	2498	1062	0
DTL	1780.000000	2498	1062	0
AATF	1778.500000	2409	1148	0
KIFC1	1772.500000	2372	1173	0
MZT2A	1768.000000	2408	1128	0
SMPD4	1766.000000	2469	1063	0
MZT2B	1766.000000	2469	1063	0
ZNFX1	1765.500000	2398	1133	0
TRMT2A	1762.000000	2430	1094	0
TCP1	1762.000000	2050	1474	0
RANBP1	1762.000000	2430	1094	0
MRPL18	1762.000000	2050	1474	0
