Target_genes	POU5F1|Average	SRX130060|BJ	SRX185775|BJ	SRX2431535|BJ	SRX5774914|Dermal_fibroblast	SRX5774915|Dermal_fibroblast	SRX5774916|Dermal_fibroblast	SRX5774919|Dermal_fibroblast	SRX5774920|Dermal_fibroblast	SRX1053369|Embryonic_Stem_Cells	SRX1053370|Embryonic_Stem_Cells	SRX1053378|Embryonic_Stem_Cells	SRX1053379|Embryonic_Stem_Cells	SRX702068|hESC_derived_ectodermal_cells	SRX702063|hESC_derived_mesendodermal_cells	SRX702064|hESC_derived_mesendodermal_cells	SRX702067|hESC_derived_mesendodermal_cells	SRX011571|hESC_H1	SRX011572|hESC_H1	SRX017276|hESC_H1	SRX100483|hESC_H1	SRX2966970|hESC_H1	SRX2966971|hESC_H1	SRX021069|hESC_H9	SRX021070|hESC_H9	SRX021071|hESC_H9	SRX2881139|hESC_H9	SRX2881140|hESC_H9	SRX3288570|hESC_H9	SRX3288571|hESC_H9	SRX4405899|hESC_H9	SRX4405901|hESC_H9	SRX5774922|hESC_H9	SRX266859|hESC_HUES64	SRX702065|hESC_HUES64	SRX702066|hESC_HUES64	SRX702069|hESC_HUES64	SRX1813578|iPS_cells	SRX1813579|iPS_cells	SRX512369|iPS_cells	SRX1813572|MRC-5	SRX1813573|MRC-5	SRX1813574|MRC-5	SRX1813575|MRC-5	SRX1813576|MRC-5	SRX1813577|MRC-5	SRX2732208|MRC-5	SRX2732209|MRC-5	SRX123443|NCCIT	SRX123445|NCCIT	SRX2966968|Testis	SRX2966969|Testis	STRING
REST	386.490196	0	0	81	0	0	0	0	0	1288	1446	1388	1388	0	556	0	357	0	0	392	624	0	0	305	117	211	604	161	1049	1015	220	155	0	2425	615	407	2487	0	79	804	0	0	0	0	0	0	0	0	285	1252	0	0	0
ARHGEF38	366.372549	0	0	0	0	0	0	0	0	1546	1712	1584	1512	0	399	0	245	0	0	204	763	0	0	0	254	256	172	154	1225	1170	0	94	0	2366	310	266	2421	0	244	544	0	0	0	0	0	0	0	0	282	962	0	0	0
CD99L2	363.705882	0	0	73	0	0	0	0	0	1088	1061	1208	1232	0	394	0	326	0	0	540	444	0	0	773	640	594	146	338	1000	1149	0	159	0	1678	220	165	1768	0	0	1452	0	0	0	0	0	0	0	0	447	1654	0	0	0
SMAD7	327.764706	0	0	0	0	0	0	0	0	436	606	1607	1496	0	203	0	256	0	0	518	551	0	0	469	550	554	67	169	1510	1400	129	0	0	1551	154	300	1637	0	180	920	0	0	0	0	0	0	0	0	435	1018	0	0	0
GIMAP5	318.764706	0	0	0	0	0	0	0	0	358	342	1456	1496	0	497	0	356	0	0	0	832	0	0	283	417	337	234	289	1236	1322	103	157	0	1972	336	215	2064	0	109	534	0	0	0	0	0	0	0	0	422	890	0	0	0
SMARCA2	317.019608	107	0	0	0	0	0	0	0	1944	1881	1470	1492	0	206	0	212	0	0	150	409	0	0	0	240	208	189	142	1246	1237	0	0	0	1702	203	172	1775	0	84	570	0	0	0	0	0	0	0	0	122	407	0	0	0
STAT3	302.098039	128	65	238	0	0	0	0	0	1080	1121	947	840	395	390	0	194	0	0	448	470	0	0	275	217	377	344	405	146	104	229	567	0	2170	431	308	2230	0	0	733	0	0	0	0	0	0	0	0	119	436	0	0	0
SOX2	299.607843	93	0	0	0	0	0	59	0	1037	1191	1255	1158	0	300	0	251	0	0	250	550	0	0	0	308	273	245	260	933	608	0	158	0	1664	0	0	1698	0	0	412	0	0	0	0	0	0	0	0	927	1650	0	0	0
CLDN9	287.490196	0	0	200	0	0	0	0	0	628	854	1000	809	0	319	0	371	0	0	534	831	0	0	539	532	487	200	272	766	990	123	90	0	1182	357	293	1247	0	0	1039	0	0	0	0	0	0	0	0	180	819	0	0	0
CLDN6	287.490196	0	0	200	0	0	0	0	0	628	854	1000	809	0	319	0	371	0	0	534	831	0	0	539	532	487	200	272	766	990	123	90	0	1182	357	293	1247	0	0	1039	0	0	0	0	0	0	0	0	180	819	0	0	0
DPPA5	283.352941	0	0	0	0	0	0	0	0	1369	1521	1311	1069	0	232	0	208	0	0	174	479	0	0	0	210	253	121	125	1184	1011	0	0	0	1559	275	205	1613	0	0	344	0	0	0	0	0	0	0	0	351	837	0	0	0
OBI1	274.980392	0	0	0	0	0	0	0	0	995	1243	1241	978	0	177	0	290	0	0	417	431	0	0	0	328	264	107	174	1226	948	0	0	0	1590	205	256	1619	0	0	635	0	0	0	0	0	0	0	0	248	652	0	0	0
MTRNR2L8	263.666667	856	499	287	0	243	460	584	515	504	605	125	270	440	155	0	0	148	0	0	707	577	731	200	255	315	623	681	372	452	236	330	0	400	0	126	394	0	0	224	0	0	0	141	0	82	0	0	348	439	123	0	0
NR5A2	255.509804	0	0	0	0	0	0	0	0	891	1031	722	579	0	263	0	131	0	0	341	592	0	0	672	577	481	190	183	405	519	0	111	0	1567	147	137	1624	0	0	447	0	0	0	0	0	0	0	0	242	1179	0	0	0
DUX4	255.411765	480	291	289	0	338	469	863	792	351	475	482	522	326	201	0	248	203	0	365	503	0	0	268	0	0	506	456	295	356	116	482	135	360	149	220	434	0	0	965	0	0	0	0	0	0	149	330	228	379	0	0	0
MTRNR2L2	254.313725	1054	517	356	0	365	566	875	652	330	355	155	214	253	169	0	0	166	0	0	988	632	608	109	250	371	704	724	190	157	295	382	0	295	0	0	251	0	0	240	0	0	0	182	0	0	0	0	233	332	0	0	0
MSH3	254.313725	1054	517	356	0	365	566	875	652	330	355	155	214	253	169	0	0	166	0	0	988	632	608	109	250	371	704	724	190	157	295	382	0	295	0	0	251	0	0	240	0	0	0	182	0	0	0	0	233	332	0	0	0
TMPRSS11E	254.196078	0	0	0	0	0	0	0	0	1481	1473	1678	1594	0	220	0	209	0	0	186	274	0	0	0	0	105	99	0	1489	1293	0	0	0	874	192	0	861	0	0	313	0	0	0	0	0	0	0	0	138	485	0	0	0
