ProteinA	UniProtID_A	GeneName_A	ProteinB	UniProtID_B	GeneName_B	MethodType	Method	Publication	Source
VE7_HPV1	P06465	E7	VE7_HPV1	P06465	E7	covalent binding (MI:0195)	x-ray crystallography (MI:0114)	Liu, X. et al., 2006 (PMID:16249186)	IntAct (Acc:EBI-963851)
VE7_HPV1	P06465	E7	RB_HUMAN	P06400	RB1	direct interaction (MI:0407)	pull down (MI:0096)	Liu, X. et al., 2006 (PMID:16249186)	IntAct (Acc:EBI-965795)
VE7_HPV1	P06465	E7	RB_HUMAN	P06400	RB1	association (MI:0914)	pull down (MI:0096)	Liu, X. et al., 2006 (PMID:16249186)	IntAct (Acc:EBI-987184)
VE7_HPV1	P06465	E7	E2F3_HUMAN	O00716	E2F3	physical association (MI:0915)	pull down (MI:0096)	Liu, X. et al., 2006 (PMID:16249186)	IntAct (Acc:EBI-965929)
VE7_HPV2A	P25485	E7	RB_HUMAN	P06400	RB1	association (MI:0914)	detection by mass spectrometry (MI:0943)	Elizabeth, A. et al., 2012 (PMID:22232672)	Manual Entry
VE7_HPV2A	P25485	E7	UBR4_HUMAN	Q5T4S7	UBR4	association (MI:0914)	detection by mass spectrometry (MI:0943)	Elizabeth, A. et al., 2012 (PMID:22232672)	Manual Entry
VE7_HPV2A	P25485	E7	KAP0_HUMAN	P10644	PRKAR1A	association (MI:0914)	detection by mass spectrometry (MI:0943)	Elizabeth, A. et al., 2012 (PMID:22232672)	Manual Entry
VE7_HPV2A	P25485	E7	SNW1_HUMAN	Q13573	SNW1	association (MI:0914)	detection by mass spectrometry (MI:0943)	Elizabeth, A. et al., 2012 (PMID:22232672)	Manual Entry
VE7_HPV2A	P25485	E7	RBL1_HUMAN	P28749	RBL1	association (MI:0914)	detection by mass spectrometry (MI:0943)	Elizabeth, A. et al., 2012 (PMID:22232672)	Manual Entry
VE7_HPV2A	P25485	E7	KCMF1_HUMAN	Q9P0J7	KCMF1	association (MI:0914)	detection by mass spectrometry (MI:0943)	Elizabeth, A. et al., 2012 (PMID:22232672)	Manual Entry
VE7_HPV2A	P25485	E7	LACTB_HUMAN	P83111	LACTB	association (MI:0914)	detection by mass spectrometry (MI:0943)	Elizabeth, A. et al., 2012 (PMID:22232672)	Manual Entry
VE7_HPV2A	P25485	E7	RBL2_HUMAN	Q08999	RBL2	association (MI:0914)	detection by mass spectrometry (MI:0943)	Elizabeth, A. et al., 2012 (PMID:22232672)	Manual Entry
VE7_HPV2A	P25485	E7	MYO9A_HUMAN	B2RTY4	MYO9A	association (MI:0914)	detection by mass spectrometry (MI:0943)	Elizabeth, A. et al., 2012 (PMID:22232672)	Manual Entry
VE7_HPV2A	P25485	E7	TBC14_HUMAN	Q9P2M4	TBC1D14	association (MI:0914)	detection by mass spectrometry (MI:0943)	Elizabeth, A. et al., 2012 (PMID:22232672)	Manual Entry
VE7_HPV2A	P25485	E7	TBCD4_HUMAN	O60343	TBC1D4	association (MI:0914)	detection by mass spectrometry (MI:0943)	Elizabeth, A. et al., 2012 (PMID:22232672)	Manual Entry
VE7_HPV2A	P25485	E7	PPIL1_HUMAN	Q9Y3C6	PPIL1	association (MI:0914)	detection by mass spectrometry (MI:0943)	Elizabeth, A. et al., 2012 (PMID:22232672)	Manual Entry
VE7_HPV2A	P25485	E7	SYYM_HUMAN	Q9Y2Z4	YARS2	association (MI:0914)	detection by mass spectrometry (MI:0943)	Elizabeth, A. et al., 2012 (PMID:22232672)	Manual Entry
