Complex	HGNC ID (gene)	Approved symbol	Approved name	Previous symbols	Aliases	Chromosome
ASAP	HGNC:17066	ACIN1	apoptotic chromatin condensation inducer 1	ACINUS	KIAA0670,fSAP152	14q11.2
ASAP	HGNC:10080	RNPS1	RNA binding protein with serine rich domain 1			16p13.3
ASAP	HGNC:10530	SAP18	Sin3A associated protein 18		SAP18p,2HOR0202,MGC27131	13q12.11
ATAC	HGNC:24523	ZZZ3	zinc finger ZZ-type containing 3		DKFZP564I052,ATAC1	1p31.1
ATAC	HGNC:15904	KAT14	lysine acetyltransferase 14	CSRP2BP	CRP2BP,dJ717M23.1,PRO1194,ATAC2	20p11.23
ATAC	HGNC:25156	SGF29	SAGA complex associated factor 29	CCDC101	FLJ32446,TDRD29	16p11.2
ATAC	HGNC:3017	DR1	down-regulator of transcription 1		NC2-BETA,NC2B,NCB2	1p22.1
ATAC	HGNC:4839	HCFC1	host cell factor C1	HFC1,MRX3	HCF-1,HCF1,CFF,VCAF,MGC70925,PPP1R89	Xq28
ATAC	HGNC:4201	KAT2A	lysine acetyltransferase 2A	GCN5L2	GCN5,PCAF-b	17q21.2
ATAC	HGNC:8638	KAT2B	lysine acetyltransferase 2B	PCAF	P/CAF,GCN5,GCN5L	3p24.3
ATAC	HGNC:20427	MBIP	MAP3K12 binding inhibitory protein 1			14q13.3
ATAC	HGNC:13546	POLE3	DNA polymerase epsilon 3, accessory subunit		CHRAC17,Ybl1,p17,CHARAC17,CHRAC2	9q32
ATAC	HGNC:11531	TADA2A	transcriptional adaptor 2A	TADA2L	ADA2,hADA2,ADA2A	17q12
ATAC	HGNC:19422	TADA3	transcriptional adaptor 3	TADA3L	FLJ20221,FLJ21329,ADA3,hADA3,NGG1	3p25.3
ATAC	HGNC:12757	WDR5	WD repeat domain 5		SWD3,CFAP89	9q34.2
ATAC	HGNC:25489	YEATS2	YEATS domain containing 2		FLJ10201,FLJ12841,FLJ13308,KIAA1197	3q27.1
BAF	HGNC:132	ACTB	actin beta			7p22.1
BAF	HGNC:24124	ACTL6A	actin like 6A		Actl6,BAF53A,Arp4,Baf53a,INO80K	3q26.33
BAF	HGNC:160	ACTL6B	actin like 6B	ACTL6	BAF53B	7q22.1
BAF	HGNC:11110	ARID1A	AT-rich interaction domain 1A	C1orf4,SMARCF1	B120,P270,C10rf4,BAF250,BAF250a	1p36.11
BAF	HGNC:18040	ARID1B	AT-rich interaction domain 1B		KIAA1235,ELD/OSA1,p250R,BAF250b,DAN15,6A3-5	6q25.3
BAF	HGNC:1004	BCL7A	BAF chromatin remodeling complex subunit BCL7A	BCL7		12q24.31
BAF	HGNC:1005	BCL7B	BAF chromatin remodeling complex subunit BCL7B			7q11.23
BAF	HGNC:1006	BCL7C	BAF chromatin remodeling complex subunit BCL7C			16p11.2
BAF	HGNC:13221	BCL11A	BAF chromatin remodeling complex subunit BCL11A	EVI9	BCL11A-XL,BCL11A-L,BCL11A-S,CTIP1,HBFQTL5,ZNF856	2p16.1
BAF	HGNC:13222	BCL11B	BAF chromatin remodeling complex subunit BCL11B	ZNF856B	CTIP-2,CTIP2,hRIT1-alpha	14q32.2
BAF	HGNC:25818	BRD9	bromodomain containing 9		FLJ13441	5p15.33
BAF	HGNC:20225	DPF1	double PHD fingers 1		neuro-d4,NEUD4,BAF45b	19q13.2
BAF	HGNC:9964	DPF2	double PHD fingers 2	REQ	ubi-d4,BAF45d	11q13.1
BAF	HGNC:17427	DPF3	double PHD fingers 3		cer-d4,Cerd4,FLJ14079,BAF45c	14q24.2
BAF	HGNC:18250	PHF10	PHD finger protein 10		FLJ10975,XAP135,BAF45a	6q27
BAF	HGNC:11098	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	SNF2L2	BAF190,hSNF2a,hBRM,Sth1p,SNF2LA,BRM,SNF2,SWI2	9p24.3
BAF	HGNC:11100	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	SNF2L4	hSNF2b,BRG1,BAF190,SNF2,SWI2,SNF2-BETA,SNF2LB,FLJ39786	19p13.2
BAF	HGNC:11103	SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	SNF5L1	BAF47,Ini1,Snr1,hSNFS,Sfh1p,RDT,PPP1R144,SNF5	22q11.23
BAF	HGNC:11104	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1		BAF155,SRG3,Rsc8,CRACC1	3p21.31
BAF	HGNC:11105	SMARCC2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2		BAF170,Rsc8,CRACC2	12q13.2
BAF	HGNC:11106	SMARCD1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1		BAF60A,Rsc6p,CRACD1	12q13.12
BAF	HGNC:11107	SMARCD2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2		BAF60B,Rsc6p,CRACD2,PRO2451	17q23.3
BAF	HGNC:11108	SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3		BAF60C,Rsc6p,CRACD3	7q36.1
BAF	HGNC:11109	SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1		BAF57	17q21.2
BAF	HGNC:11340	SS18	SS18 subunit of BAF chromatin remodeling complex	SSXT	SYT	18q11.2
BAF	HGNC:15592	SS18L1	SS18L1 subunit of BAF chromatin remodeling complex		KIAA0693,CREST	20q13.33
BAG6	HGNC:13919	BAG6	BAG cochaperone 6	BAT3	G3,D6S52E,Scythe	6p21.33
BAG6	HGNC:21690	GET4	guided entry of tail-anchored proteins factor 4	C7orf20	CGI-20,H_NH1244M04.5,CEE,TRC35	7p22.3
BAG6	HGNC:12505	UBL4A	ubiquitin like 4A	UBL4	GDX,DXS254E,GET5,MDY2,TMA24	Xq28
BRCA1A	HGNC:25008	BABAM1	BRISC and BRCA1 A complex member 1	C19orf62	FLJ20571,HSPC142,NBA1,MERIT40	19p13.11
BRCA1A	HGNC:1100	BRCA1	BRCA1 DNA repair associated		RNF53,BRCC1,PPP1R53,FANCS	17q21.31
BRCA1A	HGNC:24185	BRCC3	BRCA1/BRCA2-containing complex subunit 3	CXorf53	C6.1A,BRCC36	Xq28
BRCA1A	HGNC:1106	BABAM2	BRISC and BRCA1 A complex member 2	BRE	BRCC45,BRCC4	2p23.2
BRCA1A	HGNC:25829	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	CCDC98,FAM175A	FLJ13614,ABRA1,ABRAXAS	4q21.23
BRCA1A	HGNC:30298	UIMC1	ubiquitin interaction motif containing 1		RAP80	5q35.2
BRCA1B	HGNC:952	BARD1	BRCA1 associated RING domain 1			2q35
BRCA1B	HGNC:1100	BRCA1	BRCA1 DNA repair associated		RNF53,BRCC1,PPP1R53,FANCS	17q21.31
BRCA1B	HGNC:20473	BRIP1	BRCA1 interacting protein C-terminal helicase 1		OF,BACH1,FANCJ	17q23.2
BRCA1B	HGNC:17008	TOPBP1	DNA topoisomerase II binding protein 1		KIAA0259,TOP2BP1,Dpb11	3q22.1
BRCA1C	HGNC:1100	BRCA1	BRCA1 DNA repair associated		RNF53,BRCC1,PPP1R53,FANCS	17q21.31
BRCA1C	HGNC:7230	MRE11	MRE11 homolog, double strand break repair nuclease	MRE11A	ATLD	11q21
BRCA1C	HGNC:7652	NBN	nibrin	NBS,NBS1	ATV,AT-V2,AT-V1	8q21.3
BRCA1C	HGNC:9816	RAD50	RAD50 double strand break repair protein		hRad50,RAD50-2	5q31.1
BRCA1C	HGNC:9891	RBBP8	RB binding protein 8, endonuclease	SCKL2	CtIP,RIM,COM1	18q11.2
CHRAC	HGNC:960	BAZ1A	bromodomain adjacent to zinc finger domain 1A		hACF1,ACF1,WALp1,WCRF180	14q13.1-q13.2
CHRAC	HGNC:13544	CHRAC1	chromatin accessibility complex subunit 1		CHRAC15,YCL1	8q24.3
CHRAC	HGNC:13546	POLE3	DNA polymerase epsilon 3, accessory subunit		CHRAC17,Ybl1,p17,CHARAC17,CHRAC2	9q32
CHRAC	HGNC:11101	SMARCA5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5		hSNF2H,hISWI,ISWI	4q31.21
Cohesin	HGNC:9811	RAD21	RAD21 cohesin complex component		KIAA0078,hHR21,SCC1	8q24.11
Cohesin	HGNC:16879	REC8	REC8 meiotic recombination protein	REC8L1	Rec8p,kleisin-alpha	14q12
Cohesin	HGNC:11111	SMC1A	structural maintenance of chromosomes 1A	SMC1L1	DXS423E,KIAA0178,SB1.8,Smcb	Xp11.22
Cohesin	HGNC:11112	SMC1B	structural maintenance of chromosomes 1B	SMC1L2	bK268H5	22q13.31
Cohesin	HGNC:2468	SMC3	structural maintenance of chromosomes 3	CSPG6	HCAP,BAM,SMC3L1,bamacan	10q25.2
Cohesin	HGNC:11354	STAG1	stromal antigen 1		SA-1,SCC3A,SA1	3q22.3
Cohesin	HGNC:11355	STAG2	stromal antigen 2		SA-2,SCC3B,SA2	Xq25
Cohesin	HGNC:11356	STAG3	stromal antigen 3			7q22.1
COPI	HGNC:2230	COPA	COPI coat complex subunit alpha		HEP-COP	1q23.2
COPI	HGNC:2231	COPB1	COPI coat complex subunit beta 1	COPB		11p15.2
COPI	HGNC:2232	COPB2	COPI coat complex subunit beta 2		beta'-COP,betaprime-COP	3q23
COPI	HGNC:649	ARCN1	archain 1	COPD		11q23.3
COPI	HGNC:2234	COPE	COPI coat complex subunit epsilon		epsilon-COP	19p13.11
COPI	HGNC:2236	COPG1	COPI coat complex subunit gamma 1	COPG		3q21.3
COPI	HGNC:2237	COPG2	COPI coat complex subunit gamma 2		2-COP	7q32.2
COPI	HGNC:2243	COPZ1	COPI coat complex subunit zeta 1	COPZ	CGI-120	12q13.13
COPI	HGNC:19356	COPZ2	COPI coat complex subunit zeta 2		MGC23008	17q21.32
Crumbs	HGNC:2343	CRB1	crumbs cell polarity complex component 1	RP12	LCA8	1q31.3
Crumbs	HGNC:18688	CRB2	crumbs cell polarity complex component 2		FLJ38464,FLJ16786	9q33.3
Crumbs	HGNC:20237	CRB3	crumbs cell polarity complex component 3		MGC17303	19p13.3
Crumbs	HGNC:17787	LIN7A	lin-7 homolog A, crumbs cell polarity complex component		MALS-1,TIP-33,LIN-7A,VELI1	12q21.31
Crumbs	HGNC:17788	LIN7B	lin-7 homolog B, crumbs cell polarity complex component		MALS-2,LIN-7B,VELI2	19q13.33
Crumbs	HGNC:17789	LIN7C	lin-7 homolog C, crumbs cell polarity complex component		MALS-3,LIN-7C,LIN-7-C,VELI3,FLJ11215	11p14.1
Crumbs	HGNC:7208	MPDZ	multiple PDZ domain crumbs cell polarity complex component		MUPP1	9p23
Crumbs	HGNC:18669	MPP5	membrane palmitoylated protein 5		PALS1,FLJ12615	14q23.3
Crumbs	HGNC:28881	PATJ	PATJ crumbs cell polarity complex component	INADL	Cipp	1p31.3
CST	HGNC:26169	CTC1	CST telomere replication complex component 1	C17orf68	FLJ22170,AAF132	17p13.1
CST	HGNC:26200	STN1	STN1 subunit of CST complex	OBFC1	FLJ22559,bA541N10.2	10q24.33
CST	HGNC:37242	TEN1	TEN1 subunit of CST complex	C17orf106	FLJ39785	17q25.1
DECID	HGNC:16719	DHX34	DExH-box helicase 34	DDX34	KIAA0134	19q13.32
DECID	HGNC:30045	SMG1	SMG1 nonsense mediated mRNA decay associated PI3K related kinase		LIP,KIAA0421,ATX	16p12.3
DECID	HGNC:9962	UPF1	UPF1 RNA helicase and ATPase	RENT1	HUPF1,KIAA0221,NORF1,pNORF1,smg-2	19p13.11
DECID	HGNC:17854	UPF2	UPF2 regulator of nonsense mediated mRNA decay		RENT2,DKFZP434D222,KIAA1408,smg-3	10p14
DECID	HGNC:20439	UPF3B	UPF3B regulator of nonsense mediated mRNA decay	MRX62,UPF3BP1,UPF3BP2,UPF3BP3	RENT3B,UPF3X,HUPF3B,MRX82	Xq24
DISC	HGNC:1509	CASP8	caspase 8		MCH5,MACH,FLICE,Casp-8	2q33.1
DISC	HGNC:1500	CASP10	caspase 10		MCH4,FLICE-2	2q33.1
DISC	HGNC:1876	CFLAR	CASP8 and FADD like apoptosis regulator	CASP8AP1	CASH,Casper,CLARP,FLAME,FLIP,I-FLICE,MRIT,c-FLIP,cFLIP	2q33.1
