Target_genes	E2F4|Average	SRX027401|Adipocytes	SRX019963|GM06990	SRX150410|GM12878	SRX150445|HeLa	SRX668217|HRPEpiC	SRX150679|K-562	SRX194566|MCF-7	SRX194567|MCF-7	SRX150480|MCF_10A	STRING
RAD54L	1955.000000	2260	1311	2419	2614	640	2450	2400	1231	2270	0
FANCD2	1935.666667	2260	1234	2371	2421	659	2535	2245	1525	2171	0
RGS5	1907.888889	1992	734	2245	2684	624	2296	2674	1923	1999	0
NUF2	1907.888889	1992	734	2245	2684	624	2296	2674	1923	1999	0
SPC25	1896.444444	1905	692	2270	2190	724	2677	2843	1798	1969	0
SKA1	1877.666667	2236	1219	2302	2554	675	1910	2329	1555	2119	0
UBE2T	1873.555556	1911	637	2291	2552	406	2407	2769	2016	1873	0
PPP1R12B	1873.555556	1911	637	2291	2552	406	2407	2769	2016	1873	0
ZFPL1	1871.888889	1881	1246	2263	2490	824	1978	2317	1611	2237	0
TMEM262	1871.888889	1881	1246	2263	2490	824	1978	2317	1611	2237	0
CDCA5	1871.888889	1881	1246	2263	2490	824	1978	2317	1611	2237	0
MAD2L1	1844.555556	2156	897	2153	2209	577	1979	2604	1878	2148	0
PBK	1806.777778	2248	1363	2201	2639	573	2155	1873	1032	2177	0
E2F3	1794.666667	1955	370	2299	2445	697	2134	2604	1561	2087	0
RRM2	1792.111111	2114	1697	1929	2033	664	1960	2680	1411	1641	0
USP5	1764.777778	2083	241	2223	2296	707	2256	2533	1627	1917	0
CDCA3	1764.777778	2083	241	2223	2296	707	2256	2533	1627	1917	0
KNL1	1749.000000	1927	514	2149	2412	555	1288	2864	1770	2262	0
TICRR	1748.222222	1960	354	2229	2374	571	1395	2712	2118	2021	0
BLM	1743.000000	2061	767	2077	2388	475	2059	2332	1429	2099	0
SGO1	1735.111111	2016	936	2020	2424	648	2301	1994	1390	1887	0
CENPW	1734.111111	2190	740	2333	2212	520	2083	2073	1284	2172	0
ZWINT	1733.444444	1732	828	2234	2150	651	2151	2424	1256	2175	0
FAM200B	1729.888889	1861	443	2257	2126	502	2227	2442	1563	2148	0
KIF15	1728.333333	1808	855	2282	2126	483	2529	2249	1052	2171	0
KIAA1143	1728.333333	1808	855	2282	2126	483	2529	2249	1052	2171	0
BUB1B	1718.555556	2164	674	2271	2149	508	2096	2138	1111	2356	0
MTFR2	1714.111111	1551	261	2266	1822	430	2299	2741	1731	2326	0
KIF18B	1695.555556	1779	695	2286	2290	565	2158	2361	971	2155	0
TTC24	1688.000000	1825	405	2315	2462	445	2291	2231	1271	1947	0
IQGAP3	1688.000000	1825	405	2315	2462	445	2291	2231	1271	1947	0
KIF20A	1679.333333	1748	351	2229	2360	537	2165	2433	1296	1995	0
BRD8	1679.333333	1748	351	2229	2360	537	2165	2433	1296	1995	0
HASPIN	1677.111111	1817	1067	2167	2176	523	1699	2106	1245	2294	0
DIAPH3	1672.555556	1828	1012	2309	2453	587	2039	1935	783	2107	0
KIF23	1662.888889	1520	846	2112	2079	473	1914	2429	1363	2230	0
XRCC2	1662.444444	1567	819	2186	2216	578	2249	1903	1273	2171	0
CEP152	1654.111111	1857	385	2298	2282	361	2188	2260	916	2340	0
MSH5	1652.222222	2050	386	2181	1847	444	1936	2654	1254	2118	0
DDAH2	1652.222222	2050	386	2181	1847	444	1936	2654	1254	2118	0
CLIC1	1652.222222	2050	386	2181	1847	444	1936	2654	1254	2118	0
PRCP	1644.444444	1497	378	2210	2233	598	1657	2529	1659	2039	0
DDIAS	1644.444444	1497	378	2210	2233	598	1657	2529	1659	2039	0
MAMSTR	1643.000000	2041	414	2457	182	536	2542	2756	1572	2287	0
RCCD1	1634.444444	1904	941	2258	2135	411	1815	1972	994	2280	0
KIF2C	1633.444444	1549	519	2249	2319	498	2072	2346	848	2301	0
NUDT2	1626.888889	1742	837	2183	2087	449	1784	2235	1199	2126	0
KIF24	1626.888889	1742	837	2183	2087	449	1784	2235	1199	2126	0
PARPBP	1614.333333	1801	780	2180	2002	407	1790	2281	1057	2231	0
NUP37	1614.333333	1801	780	2180	2002	407	1790	2281	1057	2231	0
NDC80	1612.000000	1854	638	2051	2081	367	1885	2306	1138	2188	0
METTL4	1612.000000	1854	638	2051	2081	367	1885	2306	1138	2188	0
AURKB	1611.555556	1385	646	2279	2191	677	2280	2109	802	2135	0
PTRHD1	1610.000000	1827	572	2227	2117	479	1461	2471	1224	2112	0
CENPO	1610.000000	1827	572	2227	2117	479	1461	2471	1224	2112	0
TRIM59	1601.555556	1535	1149	2281	0	529	2493	2751	1402	2274	0
H4C15	1596.888889	889	344	1995	2163	590	1957	2516	1769	2149	0
H4C14	1596.888889	889	344	1995	2163	590	1957	2516	1769	2149	0
H3C15	1596.888889	889	344	1995	2163	590	1957	2516	1769	2149	0
H3C14	1596.888889	889	344	1995	2163	590	1957	2516	1769	2149	0
H2AC19	1596.888889	889	344	1995	2163	590	1957	2516	1769	2149	0
H2AC18	1596.888889	889	344	1995	2163	590	1957	2516	1769	2149	0
PCLAF	1592.222222	1551	265	2044	2368	413	1740	2646	1136	2167	0
FAAP24	1586.444444	1502	351	2310	2250	449	1175	2406	1590	2245	0
CEP89	1586.444444	1502	351	2310	2250	449	1175	2406	1590	2245	0
SPAG5	1581.555556	1691	467	2253	1994	383	2044	2174	1048	2180	0
PLK1	1579.333333	1818	1416	2236	1593	555	1637	1939	825	2195	0
TRIP13	1578.555556	1612	1145	2234	2014	455	2035	1789	656	2267	0
BRD9	1578.555556	1612	1145	2234	2014	455	2035	1789	656	2267	0
INCENP	1577.555556	1554	558	2231	2031	427	1584	2367	1330	2116	0
TK1	1565.333333	1617	894	2185	1839	523	2265	1913	719	2133	0
TBC1D31	1563.111111	1738	1112	2231	2026	309	1756	1854	1084	1958	0
AHCTF1	1559.666667	1640	354	2323	2159	405	1654	2248	1316	1938	0
H2BC14	1553.000000	1298	277	2078	1945	610	1188	2789	1627	2165	0
H2AC14	1553.000000	1298	277	2078	1945	610	1188	2789	1627	2165	0
REXO5	1552.777778	1345	582	2230	1899	483	1710	2136	1263	2327	0
ERI2	1552.777778	1345	582	2230	1899	483	1710	2136	1263	2327	0
GTSE1	1550.777778	2038	1251	2223	1744	528	1423	1842	666	2242	0
ASPM	1550.555556	1272	208	2217	2133	516	1565	2420	1724	1900	0
FAM53C	1548.333333	1689	583	2013	1765	537	1990	2215	1425	1718	0
CDC25C	1548.333333	1689	583	2013	1765	537	1990	2215	1425	1718	0
KIAA0895	1547.888889	1697	808	2307	1932	490	2313	1654	725	2005	0
ANLN	1547.888889	1697	808	2307	1932	490	2313	1654	725	2005	0
ALG8	1545.000000	1684	540	2049	1946	377	1388	2491	1042	2388	0
H4C2	1533.000000	1211	225	2061	2237	557	1217	2745	1699	1845	0
H3C2	1533.000000	1211	225	2061	2237	557	1217	2745	1699	1845	0
H2AC4	1533.000000	1211	225	2061	2237	557	1217	2745	1699	1845	0
NUDT15	1531.777778	1685	830	2177	1650	448	1496	2373	925	2202	0
EXO1	1528.111111	1518	424	2079	2372	373	2030	2055	1017	1885	0
RFC3	1522.777778	1729	700	2188	1572	485	1281	2250	1186	2314	0
SYCE2	1517.888889	1924	535	2103	1985	291	1448	2012	1003	2360	0
CENPS-CORT	1505.555556	1957	1363	2083	1555	456	2053	1390	414	2279	0
CENPS	1505.555556	1957	1363	2083	1555	456	2053	1390	414	2279	0
SHC1	1497.111111	1382	534	2203	1711	540	1196	2552	1482	1874	0
FLAD1	1497.111111	1382	534	2203	1711	540	1196	2552	1482	1874	0
CKS1B	1497.111111	1382	534	2203	1711	540	1196	2552	1482	1874	0
STIL	1496.000000	1928	951	2318	1858	542	1667	1514	702	1984	0
CMC2	1490.888889	1936	407	1947	1847	455	1728	1812	1069	2217	0
CENPN	1490.888889	1936	407	1947	1847	455	1728	1812	1069	2217	0
FAM76B	1488.000000	1354	624	2041	2114	416	1974	1929	743	2197	0
CEP57	1488.000000	1354	624	2041	2114	416	1974	1929	743	2197	0
H3C10	1480.888889	1298	277	2078	1945	610	539	2789	1627	2165	0
H2BC13	1480.888889	1298	277	2078	1945	610	539	2789	1627	2165	0
H2AC13	1480.888889	1298	277	2078	1945	610	539	2789	1627	2165	0
PPWD1	1479.777778	1406	912	2072	1575	393	1647	2073	993	2247	0
CENPK	1479.777778	1406	912	2072	1575	393	1647	2073	993	2247	0
EDC3	1477.777778	1523	241	1920	1974	366	1316	2084	1516	2360	0
TROAP	1470.000000	1258	569	2180	1860	592	984	2178	1368	2241	0
SMC6	1463.777778	1408	1005	2020	1796	496	1478	1900	928	2143	0
GEN1	1463.777778	1408	1005	2020	1796	496	1478	1900	928	2143	0
RHNO1	1462.777778	1832	661	2026	1613	615	1694	1667	1097	1960	0
FOXM1	1462.777778	1832	661	2026	1613	615	1694	1667	1097	1960	0
KIF14	1459.222222	1606	956	1904	1743	550	1461	2083	908	1922	0
DCAF16	1447.222222	1101	278	1952	1468	400	1915	2507	1137	2267	0
BUB1	1445.777778	1540	871	1908	1522	536	1637	1954	773	2271	0
SNIP1	1438.444444	1226	0	2123	1707	563	1875	2269	1024	2159	0
DNALI1	1438.444444	1226	0	2123	1707	563	1875	2269	1024	2159	0
H4C11	1438.222222	845	182	1912	1796	610	1258	2672	1504	2165	0
SULT1A4	1435.333333	1399	478	1532	1592	228	1447	2395	1382	2465	0
SULT1A3	1435.333333	1399	478	1532	1592	228	1447	2395	1382	2465	0
SLX1B	1435.333333	1399	478	1532	1592	228	1447	2395	1382	2465	0
